,names,text
123,,"Another example – say a suspect has been arrested for an offence while in custody. He suffers a serious injury either through a assault or negligence that puts him in hospital. If this suspect is eventually charged in open court, this is likely to bring with it negative publicity against the government of the day in the local and international media. And AG might believe, again in also all sincerity, that the interests of the Government are better protected and better served by making a deal not to prosecute the suspect in return for the suspect not suing the Government in Civil Court. Even if an AG can mentally separate the roles and prosecute regardless of the negative consequences to his client, the Government, the fact is that a conflict exists."
124,,"We should have a system where the basis of such conflict should as far as possible not even arise. Mr Speaker, the elephant in the room is that this conflict of interest could go even further and facilitate abuse by a future government. Again, some scenarios are not hard to imagine. Say in the future, a Prime Minister installs an AG who is friendly to him. At the time of the appointment by the President, there is no reason to suspect anything untoward about the AG. Then, the Prime Minister commits serious offences, perhaps acts of corruption. Despite clear evidence, the AG decides not to prosecute the Prime Minister. This could be due to pressure of desire to keep his job, for favours or simply because the Prime Minister and the AG are cronies. Potential abuse and the pressure on prosecutors is not the stuff of fiction, but a real prospect."
125,,"Prof Woon in his opinion piece, says that a look at the state of the world shows that the pressure on prosecutors is common. There are too easily available examples or perhaps I should call them cautionary tales. I will not say more except to say that one is a close neighbour and the other is a major country that regularly makes the news because of its President."
126,,Both these countries have had prominent cases of their Attorney-Generals being subject to political pressure. They are both instances of how the system can become compromised rapidly even in countries that pride themselves on the rule of law. Let Singapore not be one such country in future.
127,,"I now move to my second point on this subject. What improvements should be implemented to strengthen the independence of the public prosecutor, both in reality and in the perception of the public? I mentioned two characteristics in our system that contribute to the problem – the dual role of the AG, as Government lawyer and public prosecutor, and his absolute discretion in prosecutions. As it is the combination of these two characteristics that contribute to potential conflict, a number of changes can possibly ameliorate the prospects of abuse. "
128,,"The first and most obvious change is to split the role of Government legal advisor from the role of public prosecutor. Neither role should be subordinate to the other and different offices should be formed. Even if no other change is made, this single change removes the possibility of a conflict of interest when one person performs both roles. Prof Woon says that the prosecutorial function must be held by the Attorney-General as the AG has the necessary stature being second only to the Chief Justice in the hierarchy. He says that the role of being Government legal advisor which involves handling civil matters, international matters and legislation, could be given to the Solicitor-General, for example. The Workers' Party is open to these views."
129,,"However, while the splitting of roles takes away conflict of interest, it may not be enough to entrench the independence of the public prosecutor. The second suggestion is for the public prosecutor to be appointed for a fixed term of a relatively significant length. Prof Woon suggests a term of five years. His reason is that this promotes stability in office. The Workers' Party is open to this idea of a five-year term as we believe it not only promotes stability, but also independence. The third suggestion is for the system to eschew to the appointment of an ex-Member of Parliament as public prosecutor. Such an individual can of course be considered for the role of Government legal advisor. And there are two reasons for this."
130,,"First, it would be natural for a former elected Member of Parliament to have imbibed the political views of the party he or she used to represent. Even if a public prosecutor who was previously a Member of Parliament does his or her sincere best to be objective, they cannot but help be a product of their previous beliefs, which they perhaps still hold. A public prosecutor who was a Member of Parliament of a political party and steeped in the party's ideology for years, is likely to hold certain beliefs and approach things in certain ways."
131,,"Second, if there is no connection between the public prosecutor and the Government in power, this engenders greater faith among the public that the prosecutorial system is fair and conducted without fear or favour. Another aspect to this is that even if a public prosecutor is completely objective and able to divorce himself from his previous political loyalties and beliefs, it is possible that the public may not believe it. This is especially so in light of the internet and the easy accessibility of the Member of Parliament's political views when in party politics. Sir, public confidence in the independence of the system is critical. Even if there is objective independence, is their perceived independence? And insofar, as public confidence and trust is concerned, perception is highly significant."
132,,"It is noteworthy that the Attorney-General's Chambers made it a point to release a statement that the Attorney-General, Mr Lucien Wong was not involved in any prosecutorial decisions regarding Ms Parti Liyani, and that he would recuse himself from the review of the case. This is a clear indicator that the Attorney-General's Chambers and the current Attorney-General himself recognised that the public cares about independence and that public perception matters in reinforcing the rule of law."
133,,"Sir, the Government made its position known on this matter at the Committee of Supply Debate in 2017 when the then Senior Minister of State for Law, Ms Indranee Rajah responded to a cut on the Attorney-General Chambers by Ms Sylvia Lim. On the matter of the political affiliation of the AG, the Government's position was that in many first-world countries, the AG was a political appointee and that these countries had deemed such a system to be perfectly proper."
134,,"However, there are many things that Singapore does differently to deliver effective and robust outcomes in light of unique local circumstances. The political dynamics, competitive political systems, and the limits to political terms, in many first-world countries also operate to represent a check on political appointees."
135,,"Ours has been a one-party dominant state for more than half a century. So, the point of an independent public prosecutor free from political links would in fact buttress the rule of law and remain in step with the continued development of an autochthonous legal system."
136,,"Of course, Mr Speaker, no matter what is done to entrench independence, there will always be someone who is dissatisfied or will imagine conspiracies. But in law, we invoke a reasonable person who in more misogynistic times, was the reasonable man. What level of independence would satisfy a reasonable person? To this, what I would forward, Mr Speaker, is that the current system can be reviewed and improved against the prospects and perceptions of non-independence."
137,,"My final suggestion is a short one. To strengthen the system, the public prosecutor should have criminal justice experience, whether as a prosecutor, defence counsel or judicial officer. Again, public perception that the public prosecutor is qualified for the job is critical. While this may not always be possible in all cases, a commitment to criminal law and a deep desire to understand and master it is critical. "
138,,"Let me now move on to my third point which is that there are simply no robust reasons for not splitting the roles of the Attorney-General in two. Ms Sylvia Lim raised the splitting of the roles of the Attorney-General at the Committee of Supply Debate for the Attorney-General's Chambers in February 2020. Senior Minister of State for Law, as he was at that time, Minister Edwin Tong responded. Essentially, his reply was that a large proportion of the public has confidence in our justice system; our system is working well, and it has sufficient safeguards. The implied conclusion was that it is not necessary to split the roles. At no point did Minister Tong say either why it is a bad idea to split the AG's roles or why it is preferable for the roles of the AG to be held by the same person."
139,,"The Workers' Party understands that policy-making and in this case, amending the Constitution often involves trade-offs and crucially an eye into the future about how a law or policy will serve situations that had not been originally envisaged and can last the test of time. However, I would argue that there are no negative trade-offs in splitting the roles of the Attorney-General into the public prosecutor and the Government's legal advisor. From the perspective of justice and independence, there is only upside. The only reason I can think of for the roles of the AG to be held by one person is that somehow, we lack sufficient legal talent in Singapore to find two people to fill the roles of the Government's legal advisor and public prosecutor."
140,,"However, that is unlikely to be the case. Right now, in the Attorney-General's Chambers, there is an Attorney-General, two Deputy Attorney Generals, the Solicitor-General and a Deputy Solicitor-General. While the Deputy Solicitor-General heads the Legislation Division, there is also a Chief Counsel who leads the Civil Division and the Director-General who heads the International Affairs Division."
141,,"Mr Speaker, those are my three points for this topic of splitting the role of the AG. There is weakness in the current structure and improvements should be made to strengthen the system. There are also no robust reasons for all the AGs' roles to be held by one person and to that end, I support Ms Sylvia Lim's call for this issue of the splitting of the Attorney General's roles to be reviewed by a Constitutional Commission."
142,,"Mr Speaker, let me conclude this way. Let us think of our justice system as a house which has served as a family home. The house may have stood firm for decades and the occupants may have lived safely, but there is a flaw in the foundations. If a future occupant of that house uses it in a way that it was not meant to be used, for example, like for commercial storage or is a restaurant, the foundations may give way, harming all the occupants of the house. There is no reason why we cannot fix the foundations or at the very least strengthen it now."
143,,"In doing so, we can move the needle on justice and independence in our legal system and in doing so leave a more secure justice system that reinforces the rule of law in Singapore for our next generation. I support the Motion in the name of Ms Sylvia Lim."
144,Mr Speaker,Mr Speaker: Mr Leong Mun Wai. 
145,Mr Leong Mun Wai (Non-Constituency Member),"Mr Leong Mun Wai (Non-Constituency Member): Mr Speaker, I rise in support of the Motion. Notwithstanding my exchanges with the Minister for Home Affairs just now, I would like to state my case again for an open and independent inquiry into Parti Liyani's case for further consideration by the Government."
146,,"Mr Speaker, the Progress Singapore Party’s stance is very clear. We think that the wide implications of the lapses in the criminal justice system in the Parti Liyani case warrant an open and independent inquiry."
147,,"I do not think it is unfair to say that there were lapses in all three major institutions of our criminal justice system – the Police, the prosecution and the State Courts.   "
148,,"We were extremely fortunate that Ms Liyani’s counsel Mr Balchandani had an unwavering conviction to ensure that justice was done, and the High Court caught those errors and reversed them, thus preventing a miscarriage of justice. "
149,,"While it is of absolute importance that both MHA and AGC conduct their own internal investigations, it is frankly not enough.   "
150,,"There are three main points of concern with merely conducting an internal review. Firstly, it is not unreasonable to say that most would want to paint the best picture of the situation when it is your organisation on the line. Are they independent enough to be completely objective in their review?  "
151,,"Secondly, systemic issues are not going to be caught by piece-meal internal investigations since they are conducting micro and not macro level investigations. An independent inquiry would be able to examine the entire criminal justice process across all the three major institutions to ensure that systemic problems, where identified, are acknowledged by the various institutions and considered for improvement to the system."
152,,"I would like to draw the House’s attention to an example of an independent inquiry and that was the Committee of Inquiry or COI into the MRT breakdowns of 2011. In the wake of the two consecutive breakdowns in December 2011, then Minister for Transport Lui Tuck Yew convened the COI which ran in parallel to SMRT and LTA’s own internal investigations as concerns were raised about possible systemic shortcomings.  "
153,,"I quote the former Minister, “LTA and SMRT have also started their own separate internal investigations. This is to be expected. Both parties clearly have the duty and responsibility to find out what went wrong, especially for those areas that they are accountable for… The COI on the other hand is an independent party appointed by the MOT and will also look into the larger systems issues beyond that which SMRT and LTA will cover in their respective probes”."
154,,"Compared to the MRT case, the systemic failure in the Parti Liyani case needed even more coordination in order to be addressed because it is not restricted to one Ministry but also involved the AGC and the State Courts.  "
155,,"Thirdly, it is appropriate to reiterate that justice must not only be done, but it must also be seen to be done. An internal review by the relevant agencies alone, is unlikely to assuage those doubts amongst our citizens, nor that justice was seen to be done. "
156,,Singaporeans like to know why a simple theft case involving an underprivileged in our society has taken four long years to see the light of day. The time and resources required in our criminal justice process means that the odds are stacked heavily against the underprivileged in our society. How can we improve the access to justice for these people?
157,,"Although the legal process is based on evidence, Singaporeans are also looking for answers as to why there was little compassion shown to the underprivileged in our society.  Especially in this case, both parties were on opposite ends of society, one party living in the highest echelons of society and the other the complete opposite.  "
158,,"In his appeal judgment, Justice Chan Seng Onn has also raised some questions about the plaintiffs’ motive in filing their Police report. So it is not just the lack of compassion but there is also a perception of favouritism among some segments of Singaporeans, where the rich and powerful can directly or indirectly enjoy the power of the state to their benefit.  "
159,,"This has to to addressed seriously.  As Han Fook Kwang put it, “People can accept huge differences in wealth, say, between a business tycoon and his servant. This is the reality of a capitalist society like Singapore. But they will revolt if, on top of this wealth gap, there is a privilege and entitlement divide that separates the elites from the masses.”"
160,,"Convening an independent inquiry with hearings that are open to the public, or live-streamed, would go a long way to show our citizens that justice is being done. Mr Speaker, Chinese please."
161,,(In Mandarin): [Please refer to Vernacular Speech.] The Singapore Progressive Party calls on the Government to set up an independent committee of inquiry as soon as possible for further investigation if there are systemic problems in our criminal justice system.
162,,Internal investigation by the various criminal justice agencies are not enough to restore people's confidence in the impartiality of the Judiciary. 
163,,Singaporeans do not understand why a seemingly simple theft case involving a person belonging to the vulnerable group took more than four years to see the light of the day. The effect that there are so much resources are needed to go to Court means that our judicial system is unfair to the disadvantaged group. We have to give the disadvantaged a fairer chance.
164,,"Despite the fact that the law is based on procedures and evidence, it is difficult for Singaporeans to understand why our legal system is almost completely unsympathetic towards the disadvantaged groups. In particular in the Liyani's case, parties are at an extreme opposite of the society, with one party at the highest echelon of society and the other at the lower end."
165,,"In his judgment, High Court Judge Chan Seng Onn also expressed doubts about the motive of the plaintiff in reporting the case. This had led many to suspect that our system is only lacking in compassion but also that the rich and powerful may use the power of the State to seek welfare for themselves."
166,,"So, we must do all we can to dispel these doubts."
167,,"As Han Fook Kwang said that people can accept huge welfare between a business tycoon and his servant because it is reality in Singapore, a capitalist country. But if there is a gap of privileges beyond this welfare between the rich and the poor which separates the elites from the people, then the people will definitely revolt."
168,,The best way to dispel any doubt is to set up independent committee of inquiry and broadcast the proceedings live. This will prove to our people that our country will uphold justice.
169,,"(In English): Mr Speaker, I support the Motion."
170,Mr Speaker,Mr Speaker: Mr Leon Perera.
171,Mr Leon Perera (Aljunied),"Mr Leon Perera (Aljunied): Mr Speaker, Sir, fairness, access and independence should be affirmed as cornerstones of Singapore's justice system. In pursuing these goals, we should address shortcomings and blind spots in our current institutional matrix of laws, regulations, policies and practices relating to justice."
172,,"Sir, I should focus my speech on only one recommendation that I would argue would advance significantly towards that goal – creating the office of an ombudsman."
173,,"The Workers' Party has advocated for setting up the office of an independent ombudsman in our GE 2015 and 2020 manifestos. In its GE 2011 Manifesto, the Workers' Party proposed the establishment of an independent Police Complaints Commission for some of the same reasons."
174,,"Sir, an ombudsman would function as an independent office to investigate complaints about administrative decisions or actions of a public agency, including delay, rudeness, negligence, arbitrariness, inconsistency, oppressive behaviour or unlawfulness. "
175,,"Parti Liyani's case has raised the question of wider access to the criminal justice system and avenues of redress on the part of those with lesser means. An ombudsman would provide access to an independent public office with remit and resources to investigate potential wrongdoing, errors, lapses or weaknesses in the conduct of public officials."
176,,The office of the ombudsman would be open to Singaporeans of all backgrounds and income profiles.
177,,"The remit of the ombudsman in our proposal would extend to the conduct of all public servants, including the Police and the prosecution service. In so far as the Police are concerned, this role has parallels with that of independent Police Complaints Commission's or councils found in other jurisdictions, such as the UK and Hong Kong."
178,,"However, the ombudsman would not have the authority to investigate complaints against the Judiciary so as to protect the vital tenets of judicial independence from any potential or inappropriate external interference."
179,,"Sir, the idea of creating an office of the ombudsman in Singapore is not new by any means. Let me recount some highlights of past public discussion about the proposal to establish an office of the ombudsman in Singapore. The idea has in fact been debated publicly and in this House on many occasions."
180,,"The 1966 Wee Chong Jin Constitutional Commission recommended instituting an ombudsman to ensure an independent check on the acts and decisions of the public sector, apart from the principle of Ministerial responsibility. The Government then responded that it was not rejecting the proposal but that it was not the right time to institute it. This was in the 1960s because citizens had not yet developed a clear understanding of their rights and obligations."
181,,"According to then Law Minister, Mr EW Barker, such an institution would be, and I quote, ""flooded by complaints by people who do not know what are the limits of his jurisdiction""."
182,,"In 1990, then Member of Parliament Mr Davinder Singh called for the establishment of the ombudsman, noting that, and I quote, ""it is in our interest that we develop a system of accountability, a system which will assure the man in the street that if he has a grievance, he can take it up to a person or a body who has a right or has a power to look into it, look into the files of the Ministry, if necessary, or bring a complaint of shoddy treatment up to the superiors""."
183,,"In 1994, as has been alluded to earlier today, then backbencher and current Law Minister Mr K Shanmugam also raised it in Parliament, suggesting that an ombudsman, and I quote, ""might actually help retain the confidence of people in the system, to have an intermediate institution which can provide for a quick and effective remedy and reserving the final appeal to the minister for extreme cases""."
184,,"In 2011, then Member of Parliament and now Leader of the Opposition, Mr Pritam Singh, called for the establishment of an ombudsman during the debate on the President's Address, noting that former President, Mr Tony Tan, had revived interest in this during the presidential campaign."
185,,Mr Singh asked a Parliamentary Question in 2012 as to whether the Government will consider whistle blower protection legislation and the institution of a national ombudsman to act as a layer of deterrence against wayward civil servants.
186,,"In response, then Deputy Prime Minister Mr Teo Chee Hean stated that there are multiple channels for raising irregularities. Independent bodies, like the Public Service Commission, the Auditor-General's Office and CPIB are involved in the process."
187,,"Sir, other Members of Parliament who have spoken in favour of the idea of an ombudsman over the years include Mr Zaqy Mohamad in 2013, my colleague, then Non-Constituency Member of Parliament and now Member of Parliament Mr Dennis Tan in 2016, Non-Constituency Member of Parliament Ms Kuik Shiao-Yin in 2016 and Non-Constituency Member of Parliament Mr Kok Heng Leun in 2017 and myself in 2018."
188,,"Sir, there are a number of arguments for an ombudsman in the Singapore context. I shall attempt to summarise these in the following three points."
189,,"Firstly, an ombudsman could undertake an inquiry that is independent from and seen to be independent from a public sector agency, which is the subject of a complaint, setting it apart from internal enquiries that occur within Ministries or Statutory Boards, by the quality service department, for example. Having access to such a check would, in fact, bolster the standing of the Public Service."
190,,"Secondly, an ombudsman would be equipped with investigative resources and a remit to independently investigate complaints that organisations like the Auditor-Generala's Office and Public Service Commission do not currently have."
191,,"Thirdly, an ombudsman may uncover policy gaps or institutional shortcomings that are not related purely to corruption, accounting or corporate governance that are dealt with by the CPIB and Auditor-General's Office, as I argued in Parliament in 2018. The office of the ombudsman could therefore table a review paper every year analysing in aggregate, the cases it had dealt with, describing any systemic patterns discerned and putting forth evidence-driven recommendations for systemic change in how the Public Service interfaces with citizens."
192,,"In 2016, during the public discussion on the Constitutional amendment to the elected presidency scheme, scholar Mr Chirag Agarwal published an op-ed essay outlining outlining how an ombudsman could benefit Singapore, and I think it is worth citing that. To paraphrase, he argued firstly, the delivery of public services has become more complex and citizens have become more demanding. Parliament has had to address specific incidents involving Government agencies. An ombudsman should be able to investigate such incidents in the first instance and recommend corrective action where necessary while the Government focuses on developing sound public policy. The Government could then consider any policy recommendations made by the ombudsman in its annual report. Secondly, an ombudsman could also quash unsubstantiated claims and vicious attacks on the Public Service by conducting a transparent and independent investigation into any allegation. And thirdly, the transparency and independence of the ombudsman will help build trust in the Government."
193,,"Next, Sir, I would like to consider examples of other jurisdictions that have created the office of an ombudsman or its equivalent."
194,,"A 2018 OECD working paper noted that almost 30% of governments have included independent institutions like ombudsman offices to foster a more ""open state"" which OECD recommendation on the council open government defines as and I quote, ""When the executive legislature judiciary independent public institutions and all levels of government recognising the respective roles, prerogatives and overall independence according to their existing legal and institutional frameworks collaborate, exploit synergies and share good practises and lessons learnt among themselves and with other stakeholders to promote transparency, integrity, accountability and stakeholder participation and support of democracy and inclusive growth."""
195,,"Notably, 96% of the ombudsman institutions studied in this report focus on complaints against the public administration and 67% also conduct mediation of such complaints between citizens and the public administration. This is the OECD, the club of more developed economies."
196,,A 2011 report by the Asian Development Bank or ADB noted that most Asian Ombudsman Association or AOA members focus on the following mandates.
197,,"One, providing redress for individual complainants. Two, addressing systemic issues to improve public administration. And three, enforcing accountability in government. The ADB report noted that an ombudsman can be established either under the Constitution by statute or administrative regulations. Some relevant Asian AOA member institutions of interests and their legal basis includes the Ombudsman of Indonesia created under presidential issuance decree number 44; the Ombudsman of Hong Kong created under the Ombudsman Ordinance in 1989; Malaysia's Public Complaints Bureau created under administrative circular number 4 in 1971; the Philippines Office of the Ombudsman created under the 1987 Constitution Republic Act."
198,,"Sir, I shall highlight for more detailed treatment here, just two examples, Hong Kong and Australia."
199,,"Established in 1989, the Ombudsman in Hong Kong monitors public governance. The office strives to improve the quality of public administration and enhance the culture of service through independent objective and impartial investigation into complaints received and by self-initiated studies in Hong Kong. The Hong Kong Ombudsman has powers to: firstly, investigate complaints from aggrieved persons about maladministration; secondly investigate complaints against government departments and agencies for non-compliance with a code of access to information; and thirdly, initiate direct investigation into issues of potentially wide public interest and concern."
200,,"Next, let me turn to Australia. The office of the Commonwealth Ombudsman in Australia safeguards on aims to safeguard the community in its dealings with the Australian government. It is responsible for ensuring that the actions of agencies are fair and responsible by: (a) handling complaints; (b) conducting investigations; (c) performing audits and inspections and (d) encouraging good administration. The office of Commonwealth Ombudsman was created by law in 1976 in Australia. The Act provides that the Ombudsman is to investigate the administrative actions of Australian government departments and agencies. The Ombudsman interestingly is also the law enforcement and ombudsman and can investigate complaints about the actions of the Australian Federal Police or AFP, and about the policies, practices and procedures of the AFP as an agency. If a person is dissatisfied after making a complaint to the AFP, they can make a complaint to the Ombudsman. The Ombudsman reports to Parliament, at least annually, on the comprehensiveness and adequacy of the AFP's complaint handling."
201,,"Sir, next, I would like to talk about next steps. I have argued for the creation of an office of independent ombudsman in Singapore to investigate complaints against public servants. We propose submitting the idea of creating such an office as an item to be considered in the external review described by my Party Chair and Member of Parliament, Ms Sylvia Lim."
202,,"The review process could consider the role such an ombudsman could play in our current eco-system of laws, regulations and practices, in the context of the questions raised by the Parti Liyani's case and taking into consideration and useful lessons from the study of the operating model for an ombudsman in force at other jurisdictions."
203,,"Sir, there are various models on how an ombudsman could actually operate, found in different jurisdictions around the world. The classical model is that of an office with extensive powers to investigate cases, question witnesses and requisition documents, one where the ombudsman may work towards mediation of conflicts. If no solution can be reached, they will provide recommendations to the relevant administrative unit. That is the classical model. In this model, the office would have no power of coercion and can only apply soft pressure to get the recommendation accepted. The ombudsman would submit an annual activity report to Parliament."
204,,"Sir, this is close to the model common in Western Europe and some commonwealth countries, including the UK, Australia, Ireland, Denmark, the Netherlands and Hong Kong. So, in other words, the model for an ombudsman could be as follows: the office investigates all complaints using an objective process of fact-finding. The office of the ombudsman would then recommend follow-up action to the public sector agency concerned. If the follow-up action is not undertaken to a satisfactory extent, the ombudsman would have recourse to the Courts or would have other means of recourse, such as publishing its findings, for example. The ombudsman would be appointed by Parliament for a fixed term and would be answerable to Parliament."
205,,The office of the ombudsman could be enshrined in the Constitution in an Article that could also specify the grounds for disqualification. Such an Article on disqualification could be modelled on Article 72 of the Constitution for the Presidential Council for Minority Rights or the mechanism for the removal of Judges under Article 98(3)(iv). I should stress that this is one model for constructing such an office that seems to me to be reasonable but the question of the operating model for an ombudsman warrants far deeper scrutiny before an appropriate model is defined.
206,,"Next, Sir, I would like to deal with objections to the idea of an ombudsman."
207,,"Currently, the Singapore Government rejection of the notion of an ombudsman seems to be premised on the fact that there are sufficient mechanisms already in place to receive public feedback, safeguard public trust and maintain the integrity of public institutions. I shall attempt to deal with these objections one by one."
208,,"First, we have the possibility of internal reviews within Ministries and Statutory Boards. But as I mentioned earlier, these would risk not being seen as independent and thus potentially leave open the possibility of a growing trust and confidence deficit."
209,,"Second, we have the citizen's right to sue the Government in Court. However, most citizens in Singapore believe that this avenue of redress comes with considerable, if not, prohibitive cost, in terms of money and time, and they believe this for good reason. Citizens will first have to find a law firm willing to sue the Government and face the AGC as an opponent. Next, if it is a judicial review action, leave of Court to commence such an action must first be obtained and only then can action be brought. Therefore, two sets of legal costs are involved in a judicial review action."
210,,"Third, many documents are in the Government's possession and these may be denied to a litigant due to a claim of official secrecy. All these factors, taken together, explain the rarity of such legal action."
211,,"Thirdly, we have the Public Service Commission or PSC. However, the PSC is not an investigative body per se and does not possess the resources and expertise to look into complaints against the Public Service to approximate what we see in the office of the ombudsman in, say, Hong Kong and Australia. Moreover, the PSC does have powers to conduct investigations into misconduct by public servants, but only on a complaint by a Permanent Secretary as relates to sections 3 and 4 of the Public Services Disciplinary Proceedings Regulations. This means that PSC cannot conduct investigations and complaints brought by members of the public."
212,,"Fourthly, we have REACH but REACH again is not an investigative body that can probe the actions of public servants and provide closure in a way that is seen as independent."
213,,"Fifth, we have the Auditor-General's Office or AGO but the work of the AGO is primarily focused on the annual audit of public sector which involves randomly selecting agencies for audit checks on a sample check basis as auditors do. No doubt the AGO can be ordered to conduct off-cycle special audits. In 2016, I obtained a Parliamentary reply to the effect that there have only been two AGO Special Audits ordered by the Government in the past 20 years. The first related to claims made by Opposition Members of Parliament in Parliament about healthcare subsidies in 1996. The second was a request audit of the Workers' Party left Aljunied-Hougang-Punggol East Town Council in 2014. However, Sir, the AGO is currently not set up to field the broad complaints about public sector lapses, errors or poor quality of service."
214,,"Sixth, we have the CPIB but the CPIB only investigates and resolves allegations of malfeasance, corruption and so on, which are potentially criminal offences, not oppressive, unfair or rude behaviour by public servants, for example; or flaws in the complaints handling process, for example."
215,,"And seventh, we have Meet-the-People sessions. It has been a hallmark of our system that Members of Parliament write letters of appeal to Government agencies to address the grievances of constituents. But, Sir, these appeals are subsequently addressed by the agencies themselves. The process does not amount to an independent investigation by an external agency, resourced and qualified to do the same. Members of Parliament's letters merely present the perspective of the constituent. There is no independent fact-finding."
216,,"Lastly, Sir, let me address the objection that creating an office of the ombudsman will incite a flood of frivolous complaints against public servants, consuming enormous resources and sparking the growth of a complaint culture that may undermine confidence in the Public Service and induce public servants to do their work defensively, as it were."
217,,"One can discern echoes of such an argument in the response of former Law Minister, Mr EW Barker to the idea of an ombudsman in the 1960s. Considering this argument more closely, one can see that this is an argument against creating responsive complaints handling processes of any kind rather than being an argument specifically against the institutional form of an ombudsman."
218,,"If we are worried about the system being flooded with frivolous complaints, ought we not to similarly abolish Quality Service or QS departments in Ministries, for example? Why does an ombudsman risked triggering a flood whereas these other institutional forms of complaint handling do not?"
219,,"Moreover, if a flood of complaints is occasioned by the creation of an ombudsman as it were, might that not be proof that there were latent grievances that members of the public hesitated to bring forth reasons of lack of confidence in existing channels of redress? If a reasonable fraction of those latent or pent-up grievances turn out to be legitimate, would addressing them not be a good thing for the quality of justice and fairness in our social fabric?"
220,Mr Speaker,Mr Speaker: The Member will be reminded he has 20 seconds left.
221,Mr Leon Perera,"Mr Leon Perera: Mr Speaker, Sir, in conclusion, and just in time, the office of the ombudsman would concentrate professional investigative resources into handling complaints of lapses, errors, poor processes and blind spots in the work of public servants. In doing so, it would strengthen public confidence in the state among our citizens since they would know that there is an independent avenue of redress accessible to the ordinary citizen who cannot afford costly legal action against the Government. Such a move would be a significant step towards achieving what this Motion today calls for, making justice accessible to all."
222,Mr Speaker,Mr Speaker: Ms Rahayu Mahzam.
223,Ms Rahayu Mahzam (Jurong),"Ms Rahayu Mahzam (Jurong): Mr Speaker, in Malay."
224,,"(In Malay): [Please refer to Vernacular Speech.] Fairness is one of the key foundations of our society. It is etched in our pledge as Singaporeans. This democratic society is built on the basis of justice and equality. We were raised with these values and they are entrenched in us. Therefore, when something that goes against these values happens, we will reject it and our people will voice it out."
225,,"Recently, the Ms Parti Liyani's case has received a lot of attention and made people voice their concerns. This case involved a helper and her previous employer, Mr Liew Mun Leong who is from a well-to-do family. One issue that has arisen in the minds of many people is whether someone with a high position in society, like Mr Liew, had used his status to influence our justice system. Many questioned whether our justice system, which encompass the police, the Attorney-General's Chamber (AGC) and the Court, is truly fair and treats everyone equally. We have seen many news materials, sharing of opinions and comments about this case in the traditional media and social media. Maybe not everyone knows each detail of this case or had the opportunity to read all 100 pages of the written judgment of the High Court judge, but many were affected by the issue of fairness that was raised."
226,,"When doubts were raised about the system and processes in our institutions arising from the decision of the High Court judge and the public concerns in this matter, the Government took steps to investigate further. This reflects the transparency of the Government and our commitment to fairness. Minister Shanmugam, from when this case was first raised, had already stated that we have to find out what happened, how it happened and later deal with it; and take responsibility. He said that it was the best way to build people's trust towards our system. After that, he said, we should disclose the steps that we have taken openly after the review is completed. This has been done."
227,," Earlier, Minister Shanmugam had analysed in detail the specifics of this case. He gave a report on the findings of the investigation that was carried out and answered Members' questions regarding this matter. The investigation showed that, amongst other things, indeed, there is room for the police and the Attorney-General's Chamber to improve the process of preparing the case for trial. For example, the Police should not have taken so long to take a record of the things that were said to be stolen after the police report was made. This shortcoming was acknowledged and assurance was given that this matter will be given attention."
228,,"However, there was no finding of any wrong-doing or influence over the police or AGC. There was no evidence that showed any personal relationship between the Liew family and the police, the AGC or the judge. The police and prosecutors actually considered this case as a routine case such that the superiors were not aware of this case while it was in progress."
229,,"The reality is that, specifically for this case, there is no basis to say that there is unfairness or wrongdoing in the judicial process."
230,,"The question now is whether the issues of justice and fairness are systemic, are we seeing wrongdoing that is happening pervasively in our justice system? Is our justice system broken to the extent that we need a review?"
231,,"On this, I would like to raise a few matters."
232,,"Firstly, I feel it is important for us to realise that for each case that is portrayed in the media, there are many other cases that are dealt with by the police and prosecutors. In 2019, there were 35,209 criminal cases recorded. In the same year, the prosecutors dealt with more than 500 trial cases and 6,189 cases where the accused pleaded guilty. The cases that are shown by the media usually have elements that are sensationalized, but when you look at it deeper, there are good explanations that are given, like the Parti Liyani case that we discussed earlier. If we follow the explanation that is given whenever a controversy is raised, we can see the reasons why a certain decision is made. In general, we can say that the cases do not raise any issues or show pervasive unfairness in our system."
233,,"Secondly, I also wish to mention how this principle of fairness is something we see broadly in our judicial system including in the civil courts. I was a lawyer specialising in civil and divorce cases. I worked at a medium-sized law firm. The clients that come to see me for help come from different backgrounds. Many had modest incomes. Sometimes my client has to face a big company represented by a big firm. However, in my experience, the judge does not look at someone’s financial ability or skin colour and is always fair. Each party is given the opportunity to present facts and evidence. "
234,,"I still remember, a few years ago, our client was a lady who had lost her husband. Her husband, a motorcyclist, was hit by a bus and later passed away. We made a claim against the bus driver and the bus company which were represented by a bigger firm. However, that was not a barrier to getting a fair trial. I was affected by that case because as we were going through the Court process, at one time, the woman became emotional and stated that she did not want any compensation but she wanted the other side to return her husband. It was sad to watch her situation but fortunately, the case was resolved. "
235,,"Winning or losing does not depend on someone’s life status and a decision is made based on the truth, what took place and the prevailing laws. The justice system is indeed blind; it does not look at whether a person is rich or poor, man or woman, and it does not look at your race or religion."
